company,loan_type,product_name,required_doc,features,benefits,fees_charges,tenure,rate,application_form_url,product_disclosure_url,terms_conditions_url,preferred_customer_type,source_url,pulled_at
Maybank,Personal Loan,Maybank Personal Loan,"MyKad/NRIC, Bank Statement, EA/BE Form","Fast Approval, No Guarantor",Personal | Business | FAQ,"No processing fee, Fee         Before 31",2-60 years,3.00% - 8% p.a.,https://www.maybank2u.com.my/maybank2u/malaysia/en/apply-online.page,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/personal_loan/personalloan_pds.pdf,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/personal_loan/persloanappfromconv_130513.pdf,"Age 21-60, Salaried employees preferred",https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/loans/personal/personal_loan.page,2025-11-10T16:36:21.069708
Maybank,Home Loan,Maybank Home Loan,"MyKad, Income proof, Property documents","Up to 00% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 2 years,3.00% - 8% p.a.,https://www.maybank2u.com.my/maybank2u/malaysia/en/apply-online.page,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/personal_loan/personalloan_pds.pdf,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/personal_loan/persloanappfromconv_130513.pdf,"Malaysian citizens, Min age 21",https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/loans/personal/personal_loan.page,2025-11-10T16:36:21.075926
Maybank,Business Loan,Maybank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/loans/personal/personal_loan.page,2025-11-10T16:36:21.076046
Alliance Bank,Personal Loan,Alliance Bank Personal Loan,MyKad/NRIC,"Fast Approval, Low Interest, No Collateral, No Guarantor",Personal | Business | Digital Banking,"No processing fee, Stamp duty (0.5%",1-7 years,12.68% - 9.99% p.a.,https://www.alliancebank.com.my/personal/Financing/personal-loan-financing#HowToApplyOnlineforPersonalLoan/Financing,https://www.alliancebank.com.my/Alliance/media/Documents/Financing/CashFirst-Personal-Loan-PDS.pdf,https://www.alliancebank.com.my/Notice-and-Choice-Principle-Statement-Personal-Data-Protection-Act-2010,"Min income RM3,000, Age 21-60",https://www.alliancebank.com.my/personal/Financing/personal-loan-financing,2025-11-10T16:36:30.073410
Alliance Bank,Home Loan,Alliance Bank Home Loan,"MyKad, Income proof, Property documents","Up to 90% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 2 years,12.68% - 9.14% p.a.,https://www.alliancebank.com.my/personal/Financing/personal-loan-financing#HowToApplyOnlineforPersonalLoan/Financing,https://www.alliancebank.com.my/Alliance/media/Documents/Financing/CashFirst-Personal-Loan-PDS.pdf,https://www.alliancebank.com.my/Notice-and-Choice-Principle-Statement-Personal-Data-Protection-Act-2010,"Malaysian citizens, Min age 21",https://www.alliancebank.com.my/personal/Financing/personal-loan-financing,2025-11-10T16:36:30.079259
Alliance Bank,Business Loan,Alliance Bank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.alliancebank.com.my/personal/Financing/personal-loan-financing,2025-11-10T16:36:30.079335
Alliance Bank,Personal Loan,Alliance Bank Personal Loan,"MyKad/NRIC, Salary Slip, EPF Statement, Bank Statement",Flexible,Personal | Business | Digital Banking,Stamp duty as per the Stamp Duty Act 1949,2-70 years,1% - 1% p.a.,https://www.alliancebank.com.my/personal/Financing/personal-mortgage/Alliance-Green-Residential-Property-Financing#ApplyNow,,https://www.alliancebank.com.my/website-terms-and-conditions,Salaried employees preferred,https://www.alliancebank.com.my/personal/Financing/personal-mortgage,2025-11-10T16:36:35.960147
Alliance Bank,Home Loan,Alliance Bank Home Loan,"MyKad, Income proof, Property documents","Up to 100% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 35 years,1% - 1% p.a.,https://www.alliancebank.com.my/personal/Financing/personal-mortgage/Alliance-Green-Residential-Property-Financing#ApplyNow,,https://www.alliancebank.com.my/website-terms-and-conditions,"Malaysian citizens, Min age 21",https://www.alliancebank.com.my/personal/Financing/personal-mortgage,2025-11-10T16:36:35.963357
Alliance Bank,Business Loan,Alliance Bank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.alliancebank.com.my/personal/Financing/personal-mortgage,2025-11-10T16:36:35.963461
AmBank,Personal Loan,AmBank Personal Loan,"MyKad/NRIC, Salary Slip",No Guarantor,Group | Personal | AmBank SPOT,Stamp duty 0.5%,60 years,3.55% - 7.96% p.a.,https://www.ambank.com.my/promotions/pf-i#lead-form,/docs/ambankretaillibraries/product-disclosure-sheet/pf-icoopmtqpds.pdf?sfvrsn=2d0c5e2b_7,/footer-menu/support/terms-conditions,"Salaried employees, Min income RM3,000",https://www.ambank.com.my/loans-financing/personal/personal-financing/personal-financing-i,2025-11-10T16:36:39.575902
AmBank,Home Loan,AmBank Home Loan,"MyKad, Income proof, Property documents","Up to 5% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 60 years,3.55% - 7.96% p.a.,https://www.ambank.com.my/promotions/pf-i#lead-form,/docs/ambankretaillibraries/product-disclosure-sheet/pf-icoopmtqpds.pdf?sfvrsn=2d0c5e2b_7,/footer-menu/support/terms-conditions,"Malaysian citizens, Min age 21",https://www.ambank.com.my/loans-financing/personal/personal-financing/personal-financing-i,2025-11-10T16:36:39.584097
AmBank,Business Loan,AmBank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.ambank.com.my/loans-financing/personal/personal-financing/personal-financing-i,2025-11-10T16:36:39.584188
AmBank,Personal Loan,AmBank Personal Loan,MyKad/NRIC,"Fast approval, Flexible tenure",Group | Personal | AmBank SPOT,Stamp duty 0.5%,请联系银行,请联系银行,/form/connect-with-us,/footer-menu/support/product-disclosure-sheet,/footer-menu/support/terms-conditions,"Salaried employees, Min income RM3,000",https://www.ambank.com.my/loans-financing/personal/home-financing,2025-11-10T16:36:43.309136
AmBank,Home Loan,AmBank Home Loan,"MyKad, Income proof, Property documents","Up to 110% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 35 years,请联系银行,/form/connect-with-us,/footer-menu/support/product-disclosure-sheet,/footer-menu/support/terms-conditions,"Malaysian citizens, Min age 21",https://www.ambank.com.my/loans-financing/personal/home-financing,2025-11-10T16:36:43.316580
AmBank,Business Loan,AmBank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.ambank.com.my/loans-financing/personal/home-financing,2025-11-10T16:36:43.316663
Public Bank,Home Loan,Public Bank Home Loan,"MyKad, Income proof, Property documents","Up to 90% financing, Flexible repayment","Low interest rates, Long tenure, Refinancing available","Legal fees, Stamp duty, Valuation fees",Up to 35 years,请联系银行,/en/application-gateway-landing/#featuredloans,,/en/announcements/revision-of-terms-and-conditions-governing-remittance-services/,"Malaysian citizens, Min age 21",https://www.pbebank.com/Personal-Banking/Borrow/Personal-Loan.aspx,2025-11-10T16:37:08.698820
Public Bank,Business Loan,Public Bank SME Business Loan,"Business registration, Financial statements, Tax returns","Working capital support, Flexible terms","Competitive rates, Fast approval, Dedicated RM","Processing fee, Stamp duty",1-10 years,请联系银行,,,,"Registered businesses, Min 1 year operation",https://www.pbebank.com/Personal-Banking/Borrow/Personal-Loan.aspx,2025-11-10T16:37:08.699056
